required_skills,job_title
".net, ajax, angularjs, asp, asp.net, c#, development, javascript, jquery, sql, sql server",web developer
"analysis, crm, erp, lawson, management",crm consultant
"technician, windows, windows 7",technical support manager
"ajax, analysis, apache, as400, crm, css, db2, e, commerce, erp, html, ibm, java, javascript, jquery, jsp, linux, management, mysql, mysql, rpg, sql, web server, websphere, xml",systems integrator
"c#, hardware, networks, sql, version control, visual basic",analytic programmer
"ccna, routers, switches, technician",information systems technician
"design, mathematics, computer science, information technology",data scientist
"api, embedded, git, linux, mongodb, nosql, oop, sql, sql server, svn",software engineer
"agile, architecture, development, python",data scientist
"iaas, saas",network security engineer
"analysis, architecture, business objects, data analysis, data warehouse, db2, development, informatica, javascript, linux, management, oracle, performance, sql, sql server, unix",hadoop developer
"analysis, application, applications, basic, database, hardware, javascript, linux, network, oracle, performance, perl, php, pl, sql, python, release, software, sql, system, systems, web, web server, windows",application support manager
"cms, php",web developer
"application, architecture, defense systems, it, management, network, security, systems, web",security engineer
".net, angularjs, asp, asp.net, sql",sql developer
"customer service, database, excel, jde, management, materials, oracle, outlook, powerpoint",gis analyst
"hardware, management, networks, peripheral, routers, security, technician",information systems technician
"anti, virus, backup , recovery, dns, exchange, firewall, management, sql, sql server, system admin, tcp, ip, vm, vmware, vpn, windows",linux system administrator
".net, analysis, asp, asp.net, c#, development, jquery, lifecycle, networks, sql, sql server",analytic programmer
".net, agile, api, c#, development, qa, quality assurance",threat analyst
"applications, business requirements, development, linux, management, perl, unix",business intelligence developer
soap ui,penetration tester
"agile, analysis, bmc, crystal reports, development, excel, foundation, http, management, powerpoint, release",systems engineer
"access, analytical, development, it, management, metrics, performance, sales, security, systems",business intelligence manager
"java, jsp, servlets, hibernate, jpa, web service, xml, svn, tomcat, soap, rest, json, xml, unix",backend developer
"exchange, iis, vpn, web server",gis administrator
"automated, cisco, hardware, help desk, lan, management, micro, powershell, routers, security, switches, technician, telecommunications",information systems technician
"automated, basic, c++, development, firmware, hardware, html, java, javascript, next, qa, software, test, web, windows",hadoop developer
"business requirements, css, development, e, commerce, javascript, mysql, mysql, php",business intelligence developer
"cisco, customer service, desktop support, hardware, peripherals, security, technician, vpn, windows, wireless",tech support jobs
"analysis, application, applications, architecture, development, hardware, java, management, project management, quality, quality assurance, security, software, system, systems, web",software development coordinator
"applications, business requirements, development, linux, management, perl, unix",technical analyst
"help desk, windows",data analyst
"autocad, customer service, ms office, security, technician, video, windows",computer technician
windows 10,systems administrator
"css, javascript",business intelligence developer
"oracle ebs, oracle soa",oracle dba
"unix, windows, shell scripts, sql, sybase, oracle, mssql, java",threat analyst
"javascript, html5, angular, react, bootstrap",object oriented programmer
"c#, sql server, javascript",business intelligence developer
"h, s, on",computer technician
"pl, sql , 2",storage consultant
"udp, tcp, dns, dhcp, vlan",network engineer
"flume, cass, ra, hbase, spark, cass",business intelligence developer
"data management, data goverce, data architecture, data quality, data analysis, agile, leadership",data scientist
"html 5, javascript, soap, web service, sql",application support analyst
"vmware, active directory, lan, wan",threat analyst
"php, python, css, sass, javascript, git, grunt, aws, sql, agile",php developer
"microsoft excel, microsoft access, microsoft word, microsoft sql, ssis, crystal reports",business analyst
"qa, c#, java, .net",big data engineer
"php, javascript, css, ajax",php developer
"virtualization, storage, san, emc, netapp, vmware, windows, design",firmware engineer
"cass, mariadb",java developer
servicenow,cms expert
"design, sql server, sql queries, scripts, ssis, etl, sdlc",sql developer
"sharepoint 2010, 2013, 2013, asp, sql",business intelligence developer
sharepoint,sharepoint developer
"microsoft sql server, crystal reports, ehr, emr",database analyst
pmo,technical manager
"powershell, vbscript, perl, bash, sql, unix, ad",emr specialist
"itil, knowledge management",data analyst
"java, j2ee, ejb, web services, jsp, pl, sql, websphere",technical support specialist
"c#, vb.net, asp.net, triggers",business intelligence developer
"security, privacy",emr specialist
"etl, soa",technical support specialist
"hadoop, hive, hbase, bi",hadoop developer
"core java, j2ee, struts, jquery, sql server, oracle, jboss",java developer
"powershell, sql server, .net, application support, automation",decision support analyst
"windows, active directory, vmware, solarwinds, maintece",security incident response engineer
"excel, vba, c#",sql developer
"qa, lead, manual, uat, test cases, telecom",data migration lead
"st, sop, documentation, word, visio, excel",designer writer
